canonical_id,variable,provisional_dimension,measurement_type,strict_role,reason
P01,Committee Service,Associational-Civic,participation percent,structural-network,"formal organizational participation"
P02,Officer Service,Associational-Civic,participation percent,structural-network,"formal organizational leadership"
P03,Civic & Social Organization Density,Associational-Civic,organizations per 1000,contextual-network,"territorial associational infrastructure"
P04,Club Meetings,Associational-Civic,mean annual count,structural-network,"intensity of associational participation"
P05,Group Membership,Associational-Civic,mean count,structural-network,"breadth of associational ties"
P06,Presidential Turnout,Civic-Political,turnout rate,civic-behavior,"electoral participation; retain separately in sensitivity tests because it is political participation rather than interpersonal network capital"
P07,Public Meeting Attendance,Civic-Political,participation percent,civic-behavior,"local public-affairs participation"
P08,Nonprofit Organization Density,Associational-Civic,organizations per 1000,contextual-network,"territorial civic infrastructure"
P09,Community Project,Associational-Civic,mean annual count,civic-cooperation,"collective community action"
P10,Volunteer Work,Associational-Civic,mean annual count,civic-cooperation,"voluntary contribution/cooperation"
P11,Visiting Friends,Informal-Sociability,percent agree,informal-network,"informal interpersonal sociability; not automatically equivalent to formal association dimension"
P12,Entertain at Home,Informal-Sociability,mean annual count,informal-network,"informal interpersonal sociability"
P13,Generalized Trust,Trust-Normative,percent agree,normative-trust,"generalized interpersonal trust"
P14,Perceived Honesty,Trust-Normative,percent agree,normative-trust,"generalized norm/belief about others' honesty"
