state_fips,state_abbr,state_name,year,value,variable,source_family,missing_status
01,AL,Alabama,2000,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2001,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2002,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2003,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2004,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2005,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2006,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2007,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2008,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2009,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2010,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2011,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2012,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2013,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2014,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2015,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2016,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2017,22.11590543218536,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2018,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2019,22.92622203819678,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2020,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2021,18.44593890036886,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2022,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2023,14.74838815613018,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
02,AK,Alaska,2000,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2001,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2002,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2003,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2004,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2005,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2006,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2007,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2008,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2009,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2010,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2011,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2012,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2013,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2014,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2015,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2016,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2017,36.78083138290004,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
02,AK,Alaska,2018,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2019,31.48267109452365,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
02,AK,Alaska,2020,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2021,25.72980828474807,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
02,AK,Alaska,2022,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
02,AK,Alaska,2023,28.34551943114587,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
04,AZ,Arizona,2000,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2001,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2002,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2003,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2004,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2005,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2006,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2007,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2008,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2009,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2010,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2011,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2012,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2013,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2014,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2015,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2016,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2017,25.36547300758513,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
04,AZ,Arizona,2018,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2019,24.043847618472,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
04,AZ,Arizona,2020,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2021,22.89331020826593,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
04,AZ,Arizona,2022,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
04,AZ,Arizona,2023,23.15748641719383,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
05,AR,Arkansas,2000,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2001,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2002,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2003,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2004,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2005,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2006,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2007,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2008,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2009,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2010,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2011,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2012,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2013,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2014,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2015,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2016,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2017,28.6238153195055,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
05,AR,Arkansas,2018,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2019,29.93821420859734,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
05,AR,Arkansas,2020,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2021,23.13417797359673,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
05,AR,Arkansas,2022,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
05,AR,Arkansas,2023,25.7534719191151,civic_group_membership,CPS Civic Engagement/Volunteering supplements,OBSERVED
06,CA,California,2000,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2001,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2002,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2003,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2004,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2005,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2006,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2007,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
06,CA,California,2008,,civic_group_membership,CPS Civic Engagement/Volunteering supplements,MISSING
