state_fips,state_abbr,state_name,year,value,variable,source_family,missing_status
01,AL,Alabama,2000,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2001,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2002,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2003,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2004,57.11,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
01,AL,Alabama,2005,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2006,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2007,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2008,60.94,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
01,AL,Alabama,2009,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2010,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2011,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2012,58.88,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
01,AL,Alabama,2013,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2014,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2015,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2016,59.12,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
01,AL,Alabama,2017,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2018,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2019,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2020,61.46,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
01,AL,Alabama,2021,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2022,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
01,AL,Alabama,2023,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2000,68.82,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
02,AK,Alaska,2001,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2002,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2003,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2004,70.03,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
02,AK,Alaska,2005,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2006,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2007,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2008,68.25,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
02,AK,Alaska,2009,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2010,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2011,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2012,58.89,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
02,AK,Alaska,2013,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2014,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2015,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2016,61.56,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
02,AK,Alaska,2017,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2018,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2019,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2020,68.23,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
02,AK,Alaska,2021,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2022,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
02,AK,Alaska,2023,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2000,46.37,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
04,AZ,Arizona,2001,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2002,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2003,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2004,55.7,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
04,AZ,Arizona,2005,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2006,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2007,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2008,57.35,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
04,AZ,Arizona,2009,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2010,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2011,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2012,52.91,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
04,AZ,Arizona,2013,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2014,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2015,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2016,55.97,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
04,AZ,Arizona,2017,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2018,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2019,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2020,66.63,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
04,AZ,Arizona,2021,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2022,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
04,AZ,Arizona,2023,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2000,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2001,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2002,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2003,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2004,54.29,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
05,AR,Arkansas,2005,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2006,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2007,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2008,52.91,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
05,AR,Arkansas,2009,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2010,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2011,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2012,51.07,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
05,AR,Arkansas,2013,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2014,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2015,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2016,53.11,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
05,AR,Arkansas,2017,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2018,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2019,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
05,AR,Arkansas,2020,56.17,pres_turnout,UF Election Lab / U.S. Elections Project,OBSERVED
05,AR,Arkansas,2021,,pres_turnout,UF Election Lab / U.S. Elections Project,MISSING
