state,state_abbr,year,resident_population,real_gdp_millions_chained_2017_dollars,real_gdp_per_capita_chained_2017_dollars,gini_index,activity_rate_percent,land_area_sqmi_2020,population_density_per_sqmi
Alabama,AL,2000,4452173,168695.3,37890.553669,,63.6,50647.128506695175,87.90573387416141
Alabama,AL,2001,4467634,168448.3,37704.140491,,62.7,50647.128506695175,88.21100290827765
Alabama,AL,2002,4480089,172430.4,38488.163963,,62.1,50647.128506695175,88.45692010767729
Alabama,AL,2003,4503491,178040.0,39533.775020,,62.2,50647.128506695175,88.9189798668383
Alabama,AL,2004,4530729,189913.7,41916.808531,,62.1,50647.128506695175,89.45677935919055
Alabama,AL,2005,4569805,197246.5,43163.001485,,61.5,50647.128506695175,90.22831372159442
Alabama,AL,2006,4628981,199923.9,43189.613438,0.472,61.5,50647.128506695175,91.3967116494686
Alabama,AL,2007,4672840,202025.5,43233.986184,0.471,61.2,50647.128506695175,92.2626837448896
Alabama,AL,2008,4718206,200967.4,42594.028323,0.467,60.5,50647.128506695175,93.1584107354929
Alabama,AL,2009,4757938,194192.1,40814.340162,0.471,59.1,50647.128506695175,93.94289746102854
Alabama,AL,2010,4788095,199455.0,41656.441654,0.472,59.8,50647.128506695175,94.53833102042596
Alabama,AL,2011,4812576,201372.8,41843.037907,0.4735,59.4,50647.128506695175,95.021695047604
Alabama,AL,2012,4839947,203675.5,42082.175693,0.4726,58.3,50647.128506695175,95.5621205526034
Alabama,AL,2013,4865253,206962.9,42538.979987,0.4752,57.7,50647.128506695175,96.0617737559761
Alabama,AL,2014,4887757,206070.0,42160.442919,0.4758,56.9,50647.128506695175,96.5061029936549
Alabama,AL,2015,4909177,208950.3,42563.203568,0.4811,56.7,50647.128506695175,96.9290292410367
Alabama,AL,2016,4931579,212862.8,43163.214054,0.4847,57.0,50647.128506695175,97.37134454420416
Alabama,AL,2017,4953096,216615.5,43733.353846,0.4768,56.9,50647.128506695175,97.79618600381733
Alabama,AL,2018,4977088,220808.8,44365.058444,0.4859,57.3,50647.128506695175,98.26989499201451
Alabama,AL,2019,5003778,225272.8,45020.542478,0.4741,57.7,50647.128506695175,98.79687452248233
Alabama,AL,2020,5031864,222288.8,44176.233698,,57.2,50647.128506695175,99.35141731351708
Alabama,AL,2021,5050380,233726.6,46279.012668,0.4823,56.4,50647.128506695175,99.71700566069362
Alabama,AL,2022,5073903,238556.5,47016.369844,0.4851,56.7,50647.128506695175,100.18145449902984
Alabama,AL,2023,5108468,245354.7,48029.017702,0.4771,57.1,50647.128506695175,100.86392162044682
Alaska,AK,2000,627963,38428.1,61194.847467,,73.3,571022.3549042225,1.0997170156417573
Alaska,AK,2001,633714,40014.4,63142.679505,,72.6,571022.3549042225,1.109788425194479
Alaska,AK,2002,642337,41904.7,65237.873577,,72.4,571022.3549042225,1.1248894101663307
Alaska,AK,2003,648414,41235.0,63593.629996,,72.3,571022.3549042225,1.1355317255639814
Alaska,AK,2004,659286,42880.1,65040.210167,,71.6,571022.3549042225,1.1545712603678746
Alaska,AK,2005,666946,44406.8,66582.302015,,71.6,571022.3549042225,1.1679857964787854
Alaska,AK,2006,675302,47546.2,70407.314061,0.417,71.1,571022.3549042225,1.1826191990561703
Alaska,AK,2007,680300,50126.7,73683.227988,0.409,70.6,571022.3549042225,1.1913719211818012
Alaska,AK,2008,687455,49926.6,72625.262744,0.403,70.8,571022.3549042225,1.2039020786065489
Alaska,AK,2009,698895,54951.9,78626.832357,0.402,70.1,571022.3549042225,1.2239363205267604
Alaska,AK,2010,714015,53652.0,75141.278545,0.422,69.6,571022.3549042225,1.2504151437639628
Alaska,AK,2011,722513,54045.5,74802.114287,0.4099,68.8,571022.3549042225,1.2652972231204276
Alaska,AK,2012,731106,57087.4,78083.615782,0.4232,68.0,571022.3549042225,1.2803456707445864
Alaska,AK,2013,738054,54627.6,74015.722427,0.4083,67.5,571022.3549042225,1.292513320470253
Alaska,AK,2014,737634,53303.3,72262.531282,0.4175,67.4,571022.3549042225,1.291777797602553
