state,state_abbr,year,resident_population,real_gdp_millions_chained_2017_dollars,real_gdp_per_capita_chained_2017_dollars,gini_index,activity_rate_percent,land_area_sqmi_2020,population_density_per_sqmi,S_HAWES_COMPTON_socap_ma,S_CEV_formal_volunteering,S_CEV_organizational_membership,S_CEV_charitable_giving,S_CEV_informal_helping,S_CEV_talking_with_friends_and_family,S_CEV_talking_with_neighbors,S_CEV_learning_about_issues,S_CEV_discussing_issues_with_friends_and_family,S_CEV_discussing_issues_with_neighbors,S_CEV_posting_views_online,S_CEV_voting_in_local_elections,S_CEV_contacting_public_officials,S_CEV_donating_to_a_political_cause,S_CEV_attending_public_meetings,S_CEV_taking_action_with_neighbors,S_CEV_buycotting_or_boycotting,S_CEV_employer_promotes_volunteering,S_source_hawes_compton,S_source_cev,S_observed_any,S_series_note,st,democracy_mcmc,democracy_mcmc_sd,democracy_mcmc_se,democracy_additive
Alabama,AL,2000,4452173,168695.3,37890.553669,,63.6,50647.128506695175,87.90573387416141,-0.9840144,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-1.19966706316123,0.286838316108113,0.00286838316108113,-1.91132340458297
Alabama,AL,2001,4467634,168448.3,37704.140491,,62.7,50647.128506695175,88.21100290827765,-1.0707595,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-1.18911711733427,0.2873178183189,0.002873178183189,-1.8442019714894
Alabama,AL,2002,4480089,172430.4,38488.163963,,62.1,50647.128506695175,88.45692010767729,-0.66225195,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.864239300808843,0.2873770849137,0.002873770849137,-1.60199903223623
Alabama,AL,2003,4503491,178040.0,39533.775020,,62.2,50647.128506695175,88.9189798668383,-0.89120746,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.94605662552524,0.287965889572597,0.00287965889572597,-1.86639590647943
Alabama,AL,2004,4530729,189913.7,41916.808531,,62.1,50647.128506695175,89.45677935919055,-0.72514385,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.868436744528292,0.288768995335598,0.00288768995335598,-1.77954922805515
Alabama,AL,2005,4569805,197246.5,43163.001485,,61.5,50647.128506695175,90.22831372159442,-1.3341863,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.871910745460922,0.284694399258058,0.00284694399258058,-1.79713682621334
Alabama,AL,2006,4628981,199923.9,43189.613438,0.472,61.5,50647.128506695175,91.3967116494686,-1.5191938,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.866898121600014,0.284428127929137,0.00284428127929137,-1.81563178509992
Alabama,AL,2007,4672840,202025.5,43233.986184,0.471,61.2,50647.128506695175,92.26268374488961,-1.6990304,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.861050619387269,0.284966286952073,0.00284966286952073,-1.83213286065964
Alabama,AL,2008,4718206,200967.4,42594.028323,0.467,60.5,50647.128506695175,93.1584107354929,-1.5409486,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.314330605844328,0.289034737002195,0.00289034737002195,-1.36865216041935
Alabama,AL,2009,4757938,194192.1,40814.340162,0.471,59.1,50647.128506695175,93.94289746102854,-1.4975376,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,AL,-0.298166647984406,0.285560827401387,0.00285560827401387,-1.3247053452586
