state,year,state_abbr,E1_real_gdp_millions_chained_2017_dollars,source_table,line_code,E2_pcpi_nominal_usd,E3_avg_unemployment,st,D_democracy_mcmc,D_democracy_mcmc_sd,D_democracy_mcmc_se,D_democracy_additive,S_HAWES_COMPTON_socap_ma,S_CEV_formal_volunteering,S_CEV_organizational_membership,S_CEV_charitable_giving,S_CEV_informal_helping,S_CEV_talking_with_friends_and_family,S_CEV_talking_with_neighbors,S_CEV_learning_about_issues,S_CEV_discussing_issues_with_friends_and_family,S_CEV_discussing_issues_with_neighbors,S_CEV_posting_views_online,S_CEV_voting_in_local_elections,S_CEV_contacting_public_officials,S_CEV_donating_to_a_political_cause,S_CEV_attending_public_meetings,S_CEV_taking_action_with_neighbors,S_CEV_buycotting_or_boycotting,S_CEV_employer_promotes_volunteering,S_source_hawes_compton,S_source_cev,S_observed_any,S_series_note,E4_gini_index,source_variable,source_survey
Alabama,2000,AL,168695.3,SAGDP9N,1,24258,4.625,AL,-1.19966706316123,0.286838316108113,0.00286838316108113,-1.91132340458297,-0.9840144,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,,,
Alabama,2001,AL,168448.3,SAGDP9N,1,25046,5.1833,AL,-1.18911711733427,0.2873178183189,0.002873178183189,-1.8442019714894,-1.0707595,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,,,
Alabama,2002,AL,172430.4,SAGDP9N,1,25671,5.925,AL,-0.864239300808843,0.2873770849137,0.002873770849137,-1.60199903223623,-0.66225195,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,,,
Alabama,2003,AL,178040.0,SAGDP9N,1,26700,5.9833,AL,-0.94605662552524,0.287965889572597,0.00287965889572597,-1.86639590647943,-0.89120746,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,,,
Alabama,2004,AL,189913.7,SAGDP9N,1,28385,5.575,AL,-0.868436744528292,0.288768995335598,0.00288768995335598,-1.77954922805515,-0.72514385,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,,,
Alabama,2005,AL,197246.5,SAGDP9N,1,29780,4.4583,AL,-0.871910745460922,0.284694399258058,0.00284694399258058,-1.79713682621334,-1.3341863,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,,,
Alabama,2006,AL,199923.9,SAGDP9N,1,31264,4,AL,-0.866898121600014,0.284428127929137,0.00284428127929137,-1.81563178509992,-1.5191938,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,0.472,B19083_001E,ACS1
Alabama,2007,AL,202025.5,SAGDP9N,1,32516,4.0417,AL,-0.861050619387269,0.284966286952073,0.00284966286952073,-1.83213286065964,-1.6990304,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,0.471,B19083_001E,ACS1
Alabama,2008,AL,200967.4,SAGDP9N,1,33441,5.8833,AL,-0.314330605844328,0.289034737002195,0.00289034737002195,-1.36865216041935,-1.5409486,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,0.467,B19083_001E,ACS1
Alabama,2009,AL,194192.1,SAGDP9N,1,32717,10.0833,AL,-0.298166647984406,0.285560827401387,0.00285560827401387,-1.3247053452586,-1.4975376,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,0.471,B19083_001E,ACS1
Alabama,2010,AL,199455.0,SAGDP9N,1,33848,10.375,AL,-0.609836118936043,0.286898823477238,0.00286898823477238,-1.28280560063633,-1.4371125,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states,0.472,B19083_001E,ACS1
Alabama,2011,AL,201372.8,SAGDP9N,1,34884,9.5833,AL,-0.747900499414927,0.286487763439029,0.00286487763439029,-1.51547870219467,,,,,,,,,,,,,,,,,,,0,0,0,,0.4735,B19083_001E,ACS1
Alabama,2012,AL,203675.5,SAGDP9N,1,35559,8.1583,AL,-1.54681703876338,0.286124600074088,0.00286124600074088,-1.95497768997365,,,,,,,,,,,,,,,,,,,0,0,0,,0.4726,B19083_001E,ACS1
Alabama,2013,AL,206962.9,SAGDP9N,1,35706,7.325,AL,-1.54316375512527,0.285629812697341,0.00285629812697341,-1.96428622163043,,,,,,,,,,,,,,,,,,,0,0,0,,0.4752,B19083_001E,ACS1
Alabama,2014,AL,206070.0,SAGDP9N,1,36722,6.7333,AL,-2.3383918794959,0.285439958549307,0.00285439958549307,-2.30691234558788,,,,,,,,,,,,,,,,,,,0,0,0,,0.4758,B19083_001E,ACS1
Alabama,2015,AL,208950.3,SAGDP9N,1,38189,6.125,AL,-2.3377066229505,0.288055151497336,0.00288055151497336,-2.30691234558788,,,,,,,,,,,,,,,,,,,0,0,0,,0.4811,B19083_001E,ACS1
Alabama,2016,AL,212862.8,SAGDP9N,1,38704,5.9083,AL,-2.48157669466592,0.287582241518731,0.00287582241518731,-1.65860722738803,,,,,,,,,,,,,,,,,,,0,0,0,,0.4847,B19083_001E,ACS1
Alabama,2017,AL,216615.5,SAGDP9N,1,39968,4.5083,AL,-2.47788821110341,0.287635453262708,0.00287635453262708,-1.65860722738803,,0.27398939,0.22115905,0.49894461,0.47416642,0.9840864,0.76593989,0.8770315,0.7010269,0.3221135,0.1963986,0.5562794,0.0727482,0.0464582,0.0727567,0.1823462,0.0694331,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index,0.4768,B19083_001E,ACS1
Alabama,2018,AL,220808.8,SAGDP9N,1,41324,3.9417,AL,-2.62667257977196,0.287869432182547,0.00287869432182547,-1.56766012211748,,,,,,,,,,,,,,,,,,,0,0,0,,0.4859,B19083_001E,ACS1
Alabama,2019,AL,225272.8,SAGDP9N,1,42998,3.1833,AL,-2.62237830117404,0.290197472092277,0.00290197472092277,-1.56766012211748,,0.25764271,0.22926222,0.50987243,0.49767599,0.97817557,0.71189145,0.82424142,0.64846014,0.30001605,0.20830828,0.62447834,0.08895217,0.06602825,0.09046351,0.1644158,0.10454094,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index,0.4741,B19083_001E,ACS1
Alabama,2020,AL,222288.8,SAGDP9N,1,45843,6.4083,AL,-2.57884952049479,0.289876348983579,0.00289876348983579,-1.31985074369205,,,,,,,,,,,,,,,,,,,0,0,0,,,,
Alabama,2021,AL,233726.6,SAGDP9N,1,50495,3.375,AL,-2.57751011425029,0.288043733945301,0.00288043733945301,-1.31985074369205,,0.19543448,0.18445939,0.40108137,0.46415856,0.97877132,0.68765636,0.74848113,0.67707534,0.31553512,0.18039748,0.49960748,0.07897876,0.0523123,0.07900686,0.15941605,0.09494937,0.34745277,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index,0.4823,B19083_001E,ACS1
