state,year,gini_index,source_variable,source_survey
Alabama,2006,0.472,B19083_001E,ACS1
Alabama,2007,0.471,B19083_001E,ACS1
Alabama,2008,0.467,B19083_001E,ACS1
Alabama,2009,0.471,B19083_001E,ACS1
Alabama,2010,0.472,B19083_001E,ACS1
Alabama,2011,0.4735,B19083_001E,ACS1
Alabama,2012,0.4726,B19083_001E,ACS1
Alabama,2013,0.4752,B19083_001E,ACS1
Alabama,2014,0.4758,B19083_001E,ACS1
Alabama,2015,0.4811,B19083_001E,ACS1
Alabama,2016,0.4847,B19083_001E,ACS1
Alabama,2017,0.4768,B19083_001E,ACS1
Alabama,2018,0.4859,B19083_001E,ACS1
Alabama,2019,0.4741,B19083_001E,ACS1
Alabama,2021,0.4823,B19083_001E,ACS1
Alabama,2022,0.4851,B19083_001E,ACS1
Alabama,2023,0.4771,B19083_001E,ACS1
Alaska,2006,0.417,B19083_001E,ACS1
Alaska,2007,0.409,B19083_001E,ACS1
Alaska,2008,0.403,B19083_001E,ACS1
Alaska,2009,0.402,B19083_001E,ACS1
Alaska,2010,0.422,B19083_001E,ACS1
Alaska,2011,0.4099,B19083_001E,ACS1
Alaska,2012,0.4232,B19083_001E,ACS1
Alaska,2013,0.4083,B19083_001E,ACS1
Alaska,2014,0.4175,B19083_001E,ACS1
Alaska,2015,0.4322,B19083_001E,ACS1
Alaska,2016,0.4081,B19083_001E,ACS1
Alaska,2017,0.4241,B19083_001E,ACS1
Alaska,2018,0.4322,B19083_001E,ACS1
Alaska,2019,0.4376,B19083_001E,ACS1
Alaska,2021,0.4392,B19083_001E,ACS1
Alaska,2022,0.4278,B19083_001E,ACS1
Alaska,2023,0.4492,B19083_001E,ACS1
Arizona,2006,0.454,B19083_001E,ACS1
Arizona,2007,0.448,B19083_001E,ACS1
Arizona,2008,0.453,B19083_001E,ACS1
Arizona,2009,0.451,B19083_001E,ACS1
Arizona,2010,0.455,B19083_001E,ACS1
Arizona,2011,0.46,B19083_001E,ACS1
Arizona,2012,0.4608,B19083_001E,ACS1
Arizona,2013,0.4681,B19083_001E,ACS1
Arizona,2014,0.4676,B19083_001E,ACS1
Arizona,2015,0.4702,B19083_001E,ACS1
Arizona,2016,0.4713,B19083_001E,ACS1
Arizona,2017,0.4668,B19083_001E,ACS1
Arizona,2018,0.4613,B19083_001E,ACS1
Arizona,2019,0.4591,B19083_001E,ACS1
Arizona,2021,0.4629,B19083_001E,ACS1
Arizona,2022,0.4665,B19083_001E,ACS1
Arizona,2023,0.465,B19083_001E,ACS1
Arkansas,2006,0.46,B19083_001E,ACS1
Arkansas,2007,0.462,B19083_001E,ACS1
Arkansas,2008,0.459,B19083_001E,ACS1
Arkansas,2009,0.461,B19083_001E,ACS1
Arkansas,2010,0.458,B19083_001E,ACS1
Arkansas,2011,0.4684,B19083_001E,ACS1
Arkansas,2012,0.4632,B19083_001E,ACS1
Arkansas,2013,0.4685,B19083_001E,ACS1
Arkansas,2014,0.4714,B19083_001E,ACS1
Arkansas,2015,0.4773,B19083_001E,ACS1
Arkansas,2016,0.4719,B19083_001E,ACS1
Arkansas,2017,0.4725,B19083_001E,ACS1
Arkansas,2018,0.4845,B19083_001E,ACS1
Arkansas,2019,0.475,B19083_001E,ACS1
Arkansas,2021,0.4751,B19083_001E,ACS1
Arkansas,2022,0.4799,B19083_001E,ACS1
Arkansas,2023,0.474,B19083_001E,ACS1
California,2006,0.466,B19083_001E,ACS1
California,2007,0.469,B19083_001E,ACS1
California,2008,0.473,B19083_001E,ACS1
California,2009,0.467,B19083_001E,ACS1
California,2010,0.471,B19083_001E,ACS1
California,2011,0.4812,B19083_001E,ACS1
California,2012,0.4822,B19083_001E,ACS1
California,2013,0.4903,B19083_001E,ACS1
California,2014,0.489,B19083_001E,ACS1
California,2015,0.4876,B19083_001E,ACS1
California,2016,0.4899,B19083_001E,ACS1
California,2017,0.4866,B19083_001E,ACS1
California,2018,0.4912,B19083_001E,ACS1
California,2019,0.4866,B19083_001E,ACS1
California,2021,0.4924,B19083_001E,ACS1
California,2022,0.4953,B19083_001E,ACS1
California,2023,0.487,B19083_001E,ACS1
Colorado,2006,0.45,B19083_001E,ACS1
Colorado,2007,0.452,B19083_001E,ACS1
Colorado,2008,0.457,B19083_001E,ACS1
Colorado,2009,0.453,B19083_001E,ACS1
Colorado,2010,0.457,B19083_001E,ACS1
Colorado,2011,0.4588,B19083_001E,ACS1
Colorado,2012,0.4579,B19083_001E,ACS1
Colorado,2013,0.4614,B19083_001E,ACS1
Colorado,2014,0.4584,B19083_001E,ACS1
Colorado,2015,0.458,B19083_001E,ACS1
Colorado,2016,0.4586,B19083_001E,ACS1
Colorado,2017,0.4553,B19083_001E,ACS1
Colorado,2018,0.4561,B19083_001E,ACS1
Colorado,2019,0.4548,B19083_001E,ACS1
Colorado,2021,0.4604,B19083_001E,ACS1
Colorado,2022,0.4566,B19083_001E,ACS1
Colorado,2023,0.4575,B19083_001E,ACS1
Connecticut,2006,0.48,B19083_001E,ACS1
Connecticut,2007,0.481,B19083_001E,ACS1
Connecticut,2008,0.486,B19083_001E,ACS1
Connecticut,2009,0.48,B19083_001E,ACS1
Connecticut,2010,0.486,B19083_001E,ACS1
Connecticut,2011,0.4859,B19083_001E,ACS1
Connecticut,2012,0.4915,B19083_001E,ACS1
Connecticut,2013,0.4994,B19083_001E,ACS1
Connecticut,2014,0.5005,B19083_001E,ACS1
Connecticut,2015,0.4916,B19083_001E,ACS1
Connecticut,2016,0.4945,B19083_001E,ACS1
Connecticut,2017,0.4943,B19083_001E,ACS1
Connecticut,2018,0.5014,B19083_001E,ACS1
Connecticut,2019,0.5024,B19083_001E,ACS1
Connecticut,2021,0.4985,B19083_001E,ACS1
Connecticut,2022,0.5008,B19083_001E,ACS1
Connecticut,2023,0.4954,B19083_001E,ACS1
Delaware,2006,0.434,B19083_001E,ACS1
Delaware,2007,0.435,B19083_001E,ACS1
Delaware,2008,0.447,B19083_001E,ACS1
Delaware,2009,0.434,B19083_001E,ACS1
Delaware,2010,0.44,B19083_001E,ACS1
Delaware,2011,0.4404,B19083_001E,ACS1
Delaware,2012,0.4356,B19083_001E,ACS1
Delaware,2013,0.4513,B19083_001E,ACS1
Delaware,2014,0.4494,B19083_001E,ACS1
Delaware,2015,0.4523,B19083_001E,ACS1
Delaware,2016,0.4522,B19083_001E,ACS1
Delaware,2017,0.4811,B19083_001E,ACS1
Delaware,2018,0.4587,B19083_001E,ACS1
Delaware,2019,0.4509,B19083_001E,ACS1
Delaware,2021,0.4547,B19083_001E,ACS1
Delaware,2022,0.4407,B19083_001E,ACS1
Delaware,2023,0.4557,B19083_001E,ACS1
