state,year,pcpi_dollars
Alabama,2000,24258
Alabama,2001,25046
Alabama,2002,25671
Alabama,2003,26700
Alabama,2004,28385
Alabama,2005,29780
Alabama,2006,31264
Alabama,2007,32516
Alabama,2008,33441
Alabama,2009,32717
Alabama,2010,33848
Alabama,2011,34884
Alabama,2012,35559
Alabama,2013,35706
Alabama,2014,36722
Alabama,2015,38189
Alabama,2016,38704
Alabama,2017,39968
Alabama,2018,41324
Alabama,2019,42998
Alabama,2020,45843
Alabama,2021,50495
Alabama,2022,51660
Alabama,2023,54112
Alaska,2000,31996
Alaska,2001,33591
Alaska,2002,34766
Alaska,2003,36045
Alaska,2004,37054
Alaska,2005,39013
Alaska,2006,41013
Alaska,2007,43747
Alaska,2008,47800
Alaska,2009,47211
Alaska,2010,49543
Alaska,2011,52415
Alaska,2012,53340
Alaska,2013,52252
Alaska,2014,55098
Alaska,2015,56714
Alaska,2016,55536
Alaska,2017,56500
Alaska,2018,58997
Alaska,2019,60504
Alaska,2020,61853
Alaska,2021,65608
Alaska,2022,68905
Alaska,2023,71309
Arizona,2000,26271
Arizona,2001,26946
Arizona,2002,27325
Arizona,2003,28384
Arizona,2004,30154
Arizona,2005,32150
Arizona,2006,34460
Arizona,2007,35602
Arizona,2008,35586
Arizona,2009,33467
Arizona,2010,33778
Arizona,2011,35263
Arizona,2012,36364
Arizona,2013,36918
Arizona,2014,38268
Arizona,2015,39888
Arizona,2016,41173
Arizona,2017,43255
Arizona,2018,45297
Arizona,2019,47718
Arizona,2020,52038
Arizona,2021,56963
Arizona,2022,58873
Arizona,2023,62194
Arkansas,2000,22731
Arkansas,2001,23841
Arkansas,2002,24280
Arkansas,2003,25564
Arkansas,2004,27024
Arkansas,2005,28043
Arkansas,2006,29376
Arkansas,2007,31036
Arkansas,2008,32157
Arkansas,2009,31411
Arkansas,2010,32218
Arkansas,2011,34181
Arkansas,2012,36289
Arkansas,2013,36286
Arkansas,2014,38220
Arkansas,2015,39267
Arkansas,2016,40181
Arkansas,2017,41403
Arkansas,2018,43031
Arkansas,2019,43737
Arkansas,2020,47100
Arkansas,2021,52872
Arkansas,2022,55299
Arkansas,2023,57603
California,2000,33175
California,2001,33915
California,2002,34047
California,2003,35191
California,2004,36969
California,2005,38737
California,2006,41454
California,2007,43070
California,2008,43391
California,2009,41660
California,2010,43137
California,2011,45508
California,2012,47793
California,2013,48074
California,2014,50617
California,2015,53816
California,2016,55862
California,2017,58214
California,2018,60984
California,2019,64219
California,2020,70065
California,2021,76887
California,2022,76741
California,2023,80771
Colorado,2000,33872
Colorado,2001,34812
Colorado,2002,34405
Colorado,2003,34757
Colorado,2004,35753
Colorado,2005,37619
Colorado,2006,39869
Colorado,2007,41760
Colorado,2008,42961
Colorado,2009,40258
Colorado,2010,40827
Colorado,2011,43735
Colorado,2012,45495
Colorado,2013,47088
Colorado,2014,50251
Colorado,2015,51401
Colorado,2016,51312
Colorado,2017,54176
Colorado,2018,57798
Colorado,2019,61278
Colorado,2020,64671
Colorado,2021,71676
Colorado,2022,76544
Colorado,2023,79746
Connecticut,2000,42857
Connecticut,2001,45032
Connecticut,2002,44656
Connecticut,2003,44898
Connecticut,2004,47098
Connecticut,2005,49424
Connecticut,2006,53224
Connecticut,2007,57112
Connecticut,2008,60543
Connecticut,2009,59586
Connecticut,2010,61392
Connecticut,2011,62964
Connecticut,2012,63556
Connecticut,2013,62000
Connecticut,2014,64484
Connecticut,2015,66222
Connecticut,2016,67551
Connecticut,2017,69147
Connecticut,2018,72159
Connecticut,2019,74176
Connecticut,2020,76779
Connecticut,2021,81692
Connecticut,2022,84777
Connecticut,2023,89307
Delaware,2000,33810
Delaware,2001,36917
Delaware,2002,37660
Delaware,2003,37985
Delaware,2004,38843
Delaware,2005,39133
Delaware,2006,40736
Delaware,2007,41539
Delaware,2008,41254
Delaware,2009,41056
Delaware,2010,41100
Delaware,2011,43779
Delaware,2012,43771
Delaware,2013,43943
Delaware,2014,45359
Delaware,2015,47238
Delaware,2016,48186
Delaware,2017,49997
Delaware,2018,52670
Delaware,2019,53778
Delaware,2020,55497
Delaware,2021,59619
Delaware,2022,63890
Delaware,2023,66557
Florida,2000,29387
Florida,2001,30405
Florida,2002,30815
Florida,2003,31779
Florida,2004,33706
Florida,2005,35736
Florida,2006,38009
Florida,2007,39184
Florida,2008,39185
Florida,2009,36777
Florida,2010,38779
Florida,2011,40437
Florida,2012,41211
Florida,2013,40743
Florida,2014,42877
Florida,2015,44957
Florida,2016,45730
Florida,2017,48447
Florida,2018,51015
Florida,2019,53666
Florida,2020,56539
Florida,2021,62238
Florida,2022,64171
Florida,2023,67821
Georgia,2000,28760
Georgia,2001,29693
Georgia,2002,30086
Georgia,2003,30805
Georgia,2004,31982
Georgia,2005,33283
Georgia,2006,34574
Georgia,2007,35440
Georgia,2008,35272
Georgia,2009,34213
Georgia,2010,34740
Georgia,2011,36760
Georgia,2012,37250
Georgia,2013,37484
Georgia,2014,39550
Georgia,2015,41527
Georgia,2016,42742
Georgia,2017,44836
Georgia,2018,46624
Georgia,2019,48529
Georgia,2020,51460
Georgia,2021,56079
Georgia,2022,57193
Georgia,2023,59691
Hawaii,2000,29174
Hawaii,2001,30178
Hawaii,2002,31353
Hawaii,2003,32557
Hawaii,2004,34336
Hawaii,2005,36278
Hawaii,2006,38315
Hawaii,2007,40301
Hawaii,2008,41887
Hawaii,2009,41144
Hawaii,2010,41498
Hawaii,2011,42758
Hawaii,2012,43523
Hawaii,2013,43548
Hawaii,2014,45445
Hawaii,2015,47150
Hawaii,2016,48561
Hawaii,2017,50506
Hawaii,2018,51554
Hawaii,2019,53940
Hawaii,2020,56995
Hawaii,2021,61051
Hawaii,2022,62522
Hawaii,2023,65888
Idaho,2000,25139
Idaho,2001,25803
Idaho,2002,26272
Idaho,2003,26739
Idaho,2004,28299
Idaho,2005,29214
Idaho,2006,31244
Idaho,2007,32459
Idaho,2008,32690
Idaho,2009,31200
Idaho,2010,31948
Idaho,2011,33447
Idaho,2012,34812
Idaho,2013,35699
Idaho,2014,37107
Idaho,2015,38813
Idaho,2016,39653
Idaho,2017,41197
Idaho,2018,43254
Idaho,2019,45880
Idaho,2020,49607
Idaho,2021,55408
Idaho,2022,56984
Idaho,2023,59192
Illinois,2000,33072
Illinois,2001,34206
Illinois,2002,34520
Illinois,2003,35081
Illinois,2004,36366
Illinois,2005,37720
Illinois,2006,40021
Illinois,2007,42148
Illinois,2008,43238
Illinois,2009,41088
Illinois,2010,42107
Illinois,2011,44075
Illinois,2012,45934
Illinois,2013,46735
Illinois,2014,48536
Illinois,2015,50688
Illinois,2016,51347
Illinois,2017,53056
Illinois,2018,56077
Illinois,2019,57738
Illinois,2020,61542
Illinois,2021,66612
Illinois,2022,68352
Illinois,2023,71716
Indiana,2000,28075
Indiana,2001,28596
Indiana,2002,28902
Indiana,2003,29445
Indiana,2004,30657
Indiana,2005,31376
Indiana,2006,32905
Indiana,2007,33845
Indiana,2008,35270
Indiana,2009,34200
Indiana,2010,35590
Indiana,2011,37681
Indiana,2012,39148
Indiana,2013,39435
Indiana,2014,40719
Indiana,2015,42146
Indiana,2016,43143
Indiana,2017,44568
Indiana,2018,46555
Indiana,2019,48270
Indiana,2020,51736
Indiana,2021,57254
Indiana,2022,58867
Indiana,2023,61083
Iowa,2000,27341
Iowa,2001,28145
Iowa,2002,28804
Iowa,2003,29344
Iowa,2004,31615
Iowa,2005,32411
Iowa,2006,34197
Iowa,2007,36366
Iowa,2008,38490
Iowa,2009,37246
Iowa,2010,38190
Iowa,2011,40879
Iowa,2012,42539
Iowa,2013,43009
Iowa,2014,44120
Iowa,2015,45442
Iowa,2016,45669
Iowa,2017,46767
Iowa,2018,48773
Iowa,2019,49674
Iowa,2020,52621
Iowa,2021,58195
Iowa,2022,61515
Iowa,2023,62557
Kansas,2000,28166
Kansas,2001,29047
Kansas,2002,29218
Kansas,2003,30029
Kansas,2004,30748
Kansas,2005,32340
Kansas,2006,35411
Kansas,2007,37748
Kansas,2008,41060
Kansas,2009,39382
Kansas,2010,39821
Kansas,2011,42889
Kansas,2012,44913
Kansas,2013,45669
Kansas,2014,46289
Kansas,2015,46597
Kansas,2016,46717
Kansas,2017,48271
Kansas,2018,50282
Kansas,2019,52156
Kansas,2020,55100
Kansas,2021,59013
Kansas,2022,62313
Kansas,2023,65869
Kentucky,2000,24815
Kentucky,2001,25564
Kentucky,2002,26053
Kentucky,2003,26661
Kentucky,2004,28030
Kentucky,2005,29104
Kentucky,2006,30476
Kentucky,2007,31529
Kentucky,2008,32830
Kentucky,2009,32198
Kentucky,2010,33187
Kentucky,2011,34607
Kentucky,2012,35630
Kentucky,2013,35758
Kentucky,2014,37225
Kentucky,2015,38766
Kentucky,2016,39319
Kentucky,2017,40403
Kentucky,2018,41658
Kentucky,2019,43466
Kentucky,2020,47052
Kentucky,2021,51769
Kentucky,2022,52615
Kentucky,2023,55063
Louisiana,2000,23907
Louisiana,2001,25630
Louisiana,2002,26281
Louisiana,2003,26987
Louisiana,2004,27983
