state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
Alabama,AL,2000,168695.3,SAGDP9N,1
Alabama,AL,2001,168448.3,SAGDP9N,1
Alabama,AL,2002,172430.4,SAGDP9N,1
Alabama,AL,2003,178040.0,SAGDP9N,1
Alabama,AL,2004,189913.7,SAGDP9N,1
Alabama,AL,2005,197246.5,SAGDP9N,1
Alabama,AL,2006,199923.9,SAGDP9N,1
Alabama,AL,2007,202025.5,SAGDP9N,1
Alabama,AL,2008,200967.4,SAGDP9N,1
Alabama,AL,2009,194192.1,SAGDP9N,1
Alabama,AL,2010,199455.0,SAGDP9N,1
Alabama,AL,2011,201372.8,SAGDP9N,1
Alabama,AL,2012,203675.5,SAGDP9N,1
Alabama,AL,2013,206962.9,SAGDP9N,1
Alabama,AL,2014,206070.0,SAGDP9N,1
Alabama,AL,2015,208950.3,SAGDP9N,1
Alabama,AL,2016,212862.8,SAGDP9N,1
Alabama,AL,2017,216615.5,SAGDP9N,1
Alabama,AL,2018,220808.8,SAGDP9N,1
Alabama,AL,2019,225272.8,SAGDP9N,1
Alabama,AL,2020,222288.8,SAGDP9N,1
Alabama,AL,2021,233726.6,SAGDP9N,1
Alabama,AL,2022,238556.5,SAGDP9N,1
Alabama,AL,2023,245354.7,SAGDP9N,1
Alaska,AK,2000,38428.1,SAGDP9N,1
Alaska,AK,2001,40014.4,SAGDP9N,1
Alaska,AK,2002,41904.7,SAGDP9N,1
Alaska,AK,2003,41235.0,SAGDP9N,1
Alaska,AK,2004,42880.1,SAGDP9N,1
Alaska,AK,2005,44406.8,SAGDP9N,1
Alaska,AK,2006,47546.2,SAGDP9N,1
Alaska,AK,2007,50126.7,SAGDP9N,1
Alaska,AK,2008,49926.6,SAGDP9N,1
Alaska,AK,2009,54951.9,SAGDP9N,1
Alaska,AK,2010,53652.0,SAGDP9N,1
Alaska,AK,2011,54045.5,SAGDP9N,1
Alaska,AK,2012,57087.4,SAGDP9N,1
Alaska,AK,2013,54627.6,SAGDP9N,1
Alaska,AK,2014,53303.3,SAGDP9N,1
Alaska,AK,2015,53681.1,SAGDP9N,1
Alaska,AK,2016,53463.9,SAGDP9N,1
Alaska,AK,2017,53550.9,SAGDP9N,1
Alaska,AK,2018,52479.6,SAGDP9N,1
Alaska,AK,2019,52377.5,SAGDP9N,1
Alaska,AK,2020,50332.8,SAGDP9N,1
Alaska,AK,2021,51454.1,SAGDP9N,1
Alaska,AK,2022,50767.1,SAGDP9N,1
Alaska,AK,2023,54059.7,SAGDP9N,1
Arizona,AZ,2000,224729.3,SAGDP9N,1
Arizona,AZ,2001,230885.6,SAGDP9N,1
Arizona,AZ,2002,238257.1,SAGDP9N,1
Arizona,AZ,2003,253743.1,SAGDP9N,1
Arizona,AZ,2004,264990.0,SAGDP9N,1
Arizona,AZ,2005,283806.2,SAGDP9N,1
Arizona,AZ,2006,296424.4,SAGDP9N,1
Arizona,AZ,2007,306611.6,SAGDP9N,1
Arizona,AZ,2008,302277.9,SAGDP9N,1
Arizona,AZ,2009,277412.4,SAGDP9N,1
Arizona,AZ,2010,282252.5,SAGDP9N,1
Arizona,AZ,2011,290411.3,SAGDP9N,1
Arizona,AZ,2012,297077.3,SAGDP9N,1
Arizona,AZ,2013,298859.9,SAGDP9N,1
Arizona,AZ,2014,301721.2,SAGDP9N,1
Arizona,AZ,2015,308582.8,SAGDP9N,1
Arizona,AZ,2016,319008.4,SAGDP9N,1
Arizona,AZ,2017,333099.0,SAGDP9N,1
Arizona,AZ,2018,346398.3,SAGDP9N,1
Arizona,AZ,2019,359576.7,SAGDP9N,1
Arizona,AZ,2020,365027.7,SAGDP9N,1
Arizona,AZ,2021,395035.9,SAGDP9N,1
Arizona,AZ,2022,410228.4,SAGDP9N,1
Arizona,AZ,2023,422399.6,SAGDP9N,1
Arkansas,AR,2000,95509.8,SAGDP9N,1
Arkansas,AR,2001,95528.7,SAGDP9N,1
Arkansas,AR,2002,98556.6,SAGDP9N,1
Arkansas,AR,2003,102948.0,SAGDP9N,1
Arkansas,AR,2004,108581.8,SAGDP9N,1
Arkansas,AR,2005,112451.1,SAGDP9N,1
Arkansas,AR,2006,114890.4,SAGDP9N,1
Arkansas,AR,2007,114026.7,SAGDP9N,1
Arkansas,AR,2008,113628.0,SAGDP9N,1
Arkansas,AR,2009,109833.1,SAGDP9N,1
Arkansas,AR,2010,113000.9,SAGDP9N,1
Arkansas,AR,2011,115241.8,SAGDP9N,1
Arkansas,AR,2012,116616.2,SAGDP9N,1
Arkansas,AR,2013,119842.8,SAGDP9N,1
Arkansas,AR,2014,121409.4,SAGDP9N,1
