state,state_abbr,year,E2_PCPI_NOMINAL_USD
Alabama,AL,2000,24258
Alabama,AL,2001,25046
Alabama,AL,2002,25671
Alabama,AL,2003,26700
Alabama,AL,2004,28385
Alabama,AL,2005,29780
Alabama,AL,2006,31264
Alabama,AL,2007,32516
Alabama,AL,2008,33441
Alabama,AL,2009,32717
Alabama,AL,2010,33848
Alabama,AL,2011,34884
Alabama,AL,2012,35559
Alabama,AL,2013,35706
Alabama,AL,2014,36722
Alabama,AL,2015,38189
Alabama,AL,2016,38704
Alabama,AL,2017,39968
Alabama,AL,2018,41324
Alabama,AL,2019,42998
Alabama,AL,2020,45843
Alabama,AL,2021,50495
Alabama,AL,2022,51660
Alabama,AL,2023,54112
Alaska,AK,2000,31996
Alaska,AK,2001,33591
Alaska,AK,2002,34766
Alaska,AK,2003,36045
Alaska,AK,2004,37054
Alaska,AK,2005,39013
Alaska,AK,2006,41013
Alaska,AK,2007,43747
Alaska,AK,2008,47800
Alaska,AK,2009,47211
Alaska,AK,2010,49543
Alaska,AK,2011,52415
Alaska,AK,2012,53340
Alaska,AK,2013,52252
Alaska,AK,2014,55098
Alaska,AK,2015,56714
Alaska,AK,2016,55536
Alaska,AK,2017,56500
Alaska,AK,2018,58997
Alaska,AK,2019,60504
Alaska,AK,2020,61853
Alaska,AK,2021,65608
Alaska,AK,2022,68905
Alaska,AK,2023,71309
Arizona,AZ,2000,26271
Arizona,AZ,2001,26946
Arizona,AZ,2002,27325
Arizona,AZ,2003,28384
Arizona,AZ,2004,30154
Arizona,AZ,2005,32150
Arizona,AZ,2006,34460
Arizona,AZ,2007,35602
Arizona,AZ,2008,35586
Arizona,AZ,2009,33467
Arizona,AZ,2010,33778
Arizona,AZ,2011,35263
Arizona,AZ,2012,36364
Arizona,AZ,2013,36918
Arizona,AZ,2014,38268
Arizona,AZ,2015,39888
Arizona,AZ,2016,41173
Arizona,AZ,2017,43255
Arizona,AZ,2018,45297
Arizona,AZ,2019,47718
Arizona,AZ,2020,52038
Arizona,AZ,2021,56963
Arizona,AZ,2022,58873
Arizona,AZ,2023,62194
Arkansas,AR,2000,22731
Arkansas,AR,2001,23841
Arkansas,AR,2002,24280
Arkansas,AR,2003,25564
Arkansas,AR,2004,27024
Arkansas,AR,2005,28043
Arkansas,AR,2006,29376
