state_abv,state,year,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
AL,Alabama,2000,21695.7,120522.6,18.00135410
AL,Alabama,2001,21189.9,123534.5,17.15302203
AL,Alabama,2002,21250.6,128380.9,16.55277382
AL,Alabama,2003,21745.3,135212.6,16.08230298
AL,Alabama,2004,26417.7,148379.1,17.80419210
AL,Alabama,2005,28000.8,158677.3,17.64638042
AL,Alabama,2006,29490.9,166048.2,17.76044546
AL,Alabama,2007,29019.6,172247.0,16.84766643
AL,Alabama,2008,28930.9,174665.6,16.56359352
AL,Alabama,2009,25152.0,170876.5,14.71940261
AL,Alabama,2010,27327.3,177510.7,15.39473395
AL,Alabama,2011,31285.1,182896.7,17.10533870
AL,Alabama,2012,31983.1,188280.7,16.98692431
AL,Alabama,2013,33514.7,193981.5,17.27726613
AL,Alabama,2014,32958.2,197064.4,16.72458344
AL,Alabama,2015,32998.5,203113.3,16.24635117
AL,Alabama,2016,33740.0,208824.3,16.15712348
AL,Alabama,2017,35501.4,216615.5,16.38913189
AL,Alabama,2018,37798.9,226263.8,16.70567718
AL,Alabama,2019,37956.4,234798.2,16.16554130
AL,Alabama,2020,35252.3,235325.3,14.98024224
AL,Alabama,2021,39672.2,260018.4,15.25745870
AL,Alabama,2022,44719.6,284949.1,15.69389059
AL,Alabama,2023,48208.6,304935.6,15.80943648
AK,Alaska,2000,829.9,26934.0,3.08123561
AK,Alaska,2001,948.0,28660.9,3.30764212
AK,Alaska,2002,919.2,29884.5,3.07584199
AK,Alaska,2003,1102.0,32115.8,3.43133286
AK,Alaska,2004,1221.6,35389.5,3.45187132
AK,Alaska,2005,1264.6,40459.9,3.12556383
AK,Alaska,2006,1398.7,44951.7,3.11156197
AK,Alaska,2007,1550.0,49456.4,3.13407365
AK,Alaska,2008,1479.9,55246.7,2.67871203
AK,Alaska,2009,1452.6,50165.9,2.89559242
AK,Alaska,2010,1107.7,53654.0,2.06452455
