state,year,gini_index
Alabama,2006,0.472
Alaska,2006,0.417
Arizona,2006,0.454
Arkansas,2006,0.460
California,2006,0.466
Colorado,2006,0.450
Connecticut,2006,0.480
Delaware,2006,0.434
Florida,2006,0.467
Georgia,2006,0.461
Hawaii,2006,0.438
Idaho,2006,0.421
Illinois,2006,0.462
Indiana,2006,0.432
Iowa,2006,0.424
Kansas,2006,0.441
Kentucky,2006,0.460
Louisiana,2006,0.475
Maine,2006,0.428
Maryland,2006,0.433
Massachusetts,2006,0.461
Michigan,2006,0.444
Minnesota,2006,0.430
Mississippi,2006,0.471
Missouri,2006,0.449
Montana,2006,0.426
Nebraska,2006,0.430
Nevada,2006,0.434
New Hampshire,2006,0.417
New Jersey,2006,0.458
New Mexico,2006,0.457
New York,2006,0.495
North Carolina,2006,0.458
North Dakota,2006,0.434
Ohio,2006,0.449
Oklahoma,2006,0.460
Oregon,2006,0.444
Pennsylvania,2006,0.455
Rhode Island,2006,0.442
South Carolina,2006,0.462
South Dakota,2006,0.439
Tennessee,2006,0.468
Texas,2006,0.474
Utah,2006,0.410
Vermont,2006,0.420
Virginia,2006,0.456
Washington,2006,0.443
West Virginia,2006,0.447
Wisconsin,2006,0.424
Wyoming,2006,0.413
Alabama,2007,0.471
Alaska,2007,0.409
Arizona,2007,0.448
Arkansas,2007,0.462
California,2007,0.469
Colorado,2007,0.452
Connecticut,2007,0.481
Delaware,2007,0.435
Florida,2007,0.469
Georgia,2007,0.464
Hawaii,2007,0.422
Idaho,2007,0.436
Illinois,2007,0.466
Indiana,2007,0.429
Iowa,2007,0.426
Kansas,2007,0.444
Kentucky,2007,0.465
Louisiana,2007,0.478
Maine,2007,0.440
Maryland,2007,0.442
Massachusetts,2007,0.467
Michigan,2007,0.448
Minnesota,2007,0.436
Mississippi,2007,0.480
Missouri,2007,0.450
Montana,2007,0.443
Nebraska,2007,0.429
Nevada,2007,0.437
New Hampshire,2007,0.417
New Jersey,2007,0.464
New Mexico,2007,0.459
New York,2007,0.500
North Carolina,2007,0.465
North Dakota,2007,0.440
Ohio,2007,0.448
Oklahoma,2007,0.463
Oregon,2007,0.442
Pennsylvania,2007,0.460
Rhode Island,2007,0.457
South Carolina,2007,0.459
South Dakota,2007,0.423
Tennessee,2007,0.471
Texas,2007,0.473
Utah,2007,0.409
Vermont,2007,0.428
Virginia,2007,0.456
Washington,2007,0.444
West Virginia,2007,0.454
Wisconsin,2007,0.428
Wyoming,2007,0.437
Alabama,2008,0.467
Alaska,2008,0.403
Arizona,2008,0.453
Arkansas,2008,0.459
California,2008,0.473
Colorado,2008,0.457
Connecticut,2008,0.486
Delaware,2008,0.447
Florida,2008,0.471
Georgia,2008,0.467
Hawaii,2008,0.428
Idaho,2008,0.419
Illinois,2008,0.467
Indiana,2008,0.437
Iowa,2008,0.428
Kansas,2008,0.442
Kentucky,2008,0.467
Louisiana,2008,0.477
Maine,2008,0.436
Maryland,2008,0.438
Massachusetts,2008,0.471
Michigan,2008,0.451
Minnesota,2008,0.445
Mississippi,2008,0.478
Missouri,2008,0.448
Montana,2008,0.449
Nebraska,2008,0.427
Nevada,2008,0.431
New Hampshire,2008,0.419
New Jersey,2008,0.462
New Mexico,2008,0.460
New York,2008,0.503
North Carolina,2008,0.463
North Dakota,2008,0.451
Ohio,2008,0.450
Oklahoma,2008,0.458
Oregon,2008,0.447
Pennsylvania,2008,0.457
Rhode Island,2008,0.460
South Carolina,2008,0.464
South Dakota,2008,0.446
Tennessee,2008,0.471
Texas,2008,0.474
Utah,2008,0.411
Vermont,2008,0.434
Virginia,2008,0.460
Washington,2008,0.442
West Virginia,2008,0.453
Wisconsin,2008,0.426
Wyoming,2008,0.441
Alabama,2009,0.471
Alaska,2009,0.402
Arizona,2009,0.451
Arkansas,2009,0.461
California,2009,0.467
Colorado,2009,0.453
Connecticut,2009,0.480
Delaware,2009,0.434
Florida,2009,0.469
Georgia,2009,0.469
Hawaii,2009,0.425
Idaho,2009,0.421
Illinois,2009,0.469
Indiana,2009,0.434
Iowa,2009,0.431
Kansas,2009,0.444
Kentucky,2009,0.464
Louisiana,2009,0.473
Maine,2009,0.432
Maryland,2009,0.448
Massachusetts,2009,0.468
Michigan,2009,0.453
Minnesota,2009,0.439
Mississippi,2009,0.470
Missouri,2009,0.450
Montana,2009,0.431
Nebraska,2009,0.440
Nevada,2009,0.433
New Hampshire,2009,0.431
New Jersey,2009,0.465
New Mexico,2009,0.453
New York,2009,0.502
North Carolina,2009,0.464
North Dakota,2009,0.450
Ohio,2009,0.453
Oklahoma,2009,0.460
Oregon,2009,0.443
Pennsylvania,2009,0.460
Rhode Island,2009,0.457
South Carolina,2009,0.462
South Dakota,2009,0.452
Tennessee,2009,0.467
Texas,2009,0.474
Utah,2009,0.414
Vermont,2009,0.428
Virginia,2009,0.456
Washington,2009,0.439
West Virginia,2009,0.463
Wisconsin,2009,0.432
Wyoming,2009,0.415
Alabama,2010,0.472
Alaska,2010,0.422
Arizona,2010,0.455
Arkansas,2010,0.458
California,2010,0.471
Colorado,2010,0.457
Connecticut,2010,0.486
Delaware,2010,0.440
Florida,2010,0.474
Georgia,2010,0.468
Hawaii,2010,0.433
Idaho,2010,0.433
Illinois,2010,0.465
Indiana,2010,0.440
Iowa,2010,0.427
Kansas,2010,0.445
Kentucky,2010,0.466
Louisiana,2010,0.475
Maine,2010,0.437
Maryland,2010,0.443
Massachusetts,2010,0.475
Michigan,2010,0.451
Minnesota,2010,0.440
Mississippi,2010,0.468
Missouri,2010,0.455
Montana,2010,0.435
Nebraska,2010,0.432
Nevada,2010,0.448
New Hampshire,2010,0.425
New Jersey,2010,0.464
New Mexico,2010,0.464
New York,2010,0.499
North Carolina,2010,0.464
North Dakota,2010,0.433
Ohio,2010,0.452
Oklahoma,2010,0.454
Oregon,2010,0.449
Pennsylvania,2010,0.461
Rhode Island,2010,0.467
South Carolina,2010,0.461
South Dakota,2010,0.442
Tennessee,2010,0.468
Texas,2010,0.469
Utah,2010,0.419
Vermont,2010,0.444
Virginia,2010,0.459
Washington,2010,0.441
West Virginia,2010,0.451
Wisconsin,2010,0.430
Wyoming,2010,0.423
Alabama,2011,0.474
Alaska,2011,0.410
Arizona,2011,0.460
Arkansas,2011,0.468
California,2011,0.481
Colorado,2011,0.459
Connecticut,2011,0.486
Delaware,2011,0.440
Florida,2011,0.481
Georgia,2011,0.477
Hawaii,2011,0.430
Idaho,2011,0.432
Illinois,2011,0.472
Indiana,2011,0.446
Iowa,2011,0.434
Kansas,2011,0.444
Kentucky,2011,0.471
Louisiana,2011,0.484
Maine,2011,0.451
Maryland,2011,0.447
Massachusetts,2011,0.477
Michigan,2011,0.461
Minnesota,2011,0.444
Mississippi,2011,0.474
Missouri,2011,0.461
Montana,2011,0.435
Nebraska,2011,0.447
Nevada,2011,0.453
New Hampshire,2011,0.435
New Jersey,2011,0.469
New Mexico,2011,0.482
New York,2011,0.503
North Carolina,2011,0.472
North Dakota,2011,0.445
Ohio,2011,0.459
Oklahoma,2011,0.461
Oregon,2011,0.459
Pennsylvania,2011,0.461
Rhode Island,2011,0.467
South Carolina,2011,0.465
South Dakota,2011,0.432
Tennessee,2011,0.476
Texas,2011,0.477
Utah,2011,0.425
Vermont,2011,0.431
Virginia,2011,0.463
Washington,2011,0.445
West Virginia,2011,0.472
Wisconsin,2011,0.437
Wyoming,2011,0.408
Alabama,2012,0.473
Alaska,2012,0.423
Arizona,2012,0.461
Arkansas,2012,0.463
California,2012,0.482
Colorado,2012,0.458
Connecticut,2012,0.491
Delaware,2012,0.436
Florida,2012,0.483
Georgia,2012,0.481
Hawaii,2012,0.426
Idaho,2012,0.430
Illinois,2012,0.472
Indiana,2012,0.442
Iowa,2012,0.433
Kansas,2012,0.450
Kentucky,2012,0.467
Louisiana,2012,0.486
Maine,2012,0.445
Maryland,2012,0.447
Massachusetts,2012,0.481
Michigan,2012,0.462
Minnesota,2012,0.444
Mississippi,2012,0.487
