state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
AL,Alabama,2000,168695.3,21695.7,120522.6,18.00135410
AL,Alabama,2001,168448.3,21189.9,123534.5,17.15302203
AL,Alabama,2002,172430.4,21250.6,128380.9,16.55277382
AL,Alabama,2003,178040.0,21745.3,135212.6,16.08230298
AL,Alabama,2004,189913.7,26417.7,148379.1,17.80419210
AL,Alabama,2005,197246.5,28000.8,158677.3,17.64638042
AL,Alabama,2006,199923.9,29490.9,166048.2,17.76044546
AL,Alabama,2007,202025.5,29019.6,172247.0,16.84766643
AL,Alabama,2008,200967.4,28930.9,174665.6,16.56359352
AL,Alabama,2009,194192.1,25152.0,170876.5,14.71940261
AL,Alabama,2010,199455.0,27327.3,177510.7,15.39473395
AL,Alabama,2011,201372.8,31285.1,182896.7,17.10533870
AL,Alabama,2012,203675.5,31983.1,188280.7,16.98692431
AL,Alabama,2013,206962.9,33514.7,193981.5,17.27726613
AL,Alabama,2014,206070.0,32958.2,197064.4,16.72458344
AL,Alabama,2015,208950.3,32998.5,203113.3,16.24635117
AL,Alabama,2016,212862.8,33740.0,208824.3,16.15712348
AL,Alabama,2017,216615.5,35501.4,216615.5,16.38913189
AL,Alabama,2018,220808.8,37798.9,226263.8,16.70567718
AL,Alabama,2019,225272.8,37956.4,234798.2,16.16554130
AL,Alabama,2020,222288.8,35252.3,235325.3,14.98024224
AL,Alabama,2021,233726.6,39672.2,260018.4,15.25745870
AL,Alabama,2022,238556.5,44719.6,284949.1,15.69389059
AL,Alabama,2023,245354.7,48208.6,304935.6,15.80943648
AK,Alaska,2000,38428.1,829.9,26934.0,3.08123561
AK,Alaska,2001,40014.4,948.0,28660.9,3.30764212
AK,Alaska,2002,41904.7,919.2,29884.5,3.07584199
AK,Alaska,2003,41235.0,1102.0,32115.8,3.43133286
AK,Alaska,2004,42880.1,1221.6,35389.5,3.45187132
AK,Alaska,2005,44406.8,1264.6,40459.9,3.12556383
AK,Alaska,2006,47546.2,1398.7,44951.7,3.11156197
AK,Alaska,2007,50126.7,1550.0,49456.4,3.13407365
AK,Alaska,2008,49926.6,1479.9,55246.7,2.67871203
AK,Alaska,2009,54951.9,1452.6,50165.9,2.89559242
AK,Alaska,2010,53652.0,1107.7,53654.0,2.06452455
AK,Alaska,2011,54045.5,971.8,56912.3,1.70753949
AK,Alaska,2012,57087.4,992.0,58320.7,1.70093980
AK,Alaska,2013,54627.6,1313.0,57533.0,2.28216849
AK,Alaska,2014,53303.3,1557.9,56587.4,2.75308638
AK,Alaska,2015,53681.1,1783.2,51574.2,3.45754272
AK,Alaska,2016,53463.9,1525.6,51121.8,2.98424547
AK,Alaska,2017,53550.9,1726.5,53550.9,3.22403545
AK,Alaska,2018,52479.6,1366.6,54762.0,2.49552609
AK,Alaska,2019,52377.5,1413.7,54549.6,2.59158637
AK,Alaska,2020,50332.8,1254.4,51283.4,2.44601567
AK,Alaska,2021,51454.1,1506.4,58943.5,2.55566772
AK,Alaska,2022,50767.1,1749.5,66271.9,2.63988206
AK,Alaska,2023,54059.7,1931.9,68056.0,2.83869167
AZ,Arizona,2000,224729.3,22942.9,165735.6,13.84307294
AZ,Arizona,2001,230885.6,22224.8,172899.6,12.85416508
AZ,Arizona,2002,238257.1,22266.2,180844.5,12.31234569
AZ,Arizona,2003,253743.1,25627.3,194318.0,13.18833047
AZ,Arizona,2004,264990.0,21953.9,207246.3,10.59314449
AZ,Arizona,2005,283806.2,20633.6,227997.8,9.04991189
AZ,Arizona,2006,296424.4,22654.1,246061.1,9.20669704
AZ,Arizona,2007,306611.6,24539.5,261152.8,9.39660612
AZ,Arizona,2008,302277.9,23364.6,261005.8,8.95175510
AZ,Arizona,2009,277412.4,20060.9,244862.2,8.19273044
AZ,Arizona,2010,282252.5,21110.3,250527.0,8.42635724
AZ,Arizona,2011,290411.3,22054.7,261691.4,8.42775116
AZ,Arizona,2012,297077.3,24014.9,272703.3,8.80623740
AZ,Arizona,2013,298859.9,21714.1,278679.5,7.79178232
AZ,Arizona,2014,301721.2,23325.4,286676.0,8.13650253
AZ,Arizona,2015,308582.8,24802.3,298942.2,8.29668745
AZ,Arizona,2016,319008.4,25424.0,313787.1,8.10230886
AZ,Arizona,2017,333099.0,25753.7,333099.0,7.73154528
AZ,Arizona,2018,346398.3,28507.1,353671.0,8.06034422
AZ,Arizona,2019,359576.7,33207.6,375376.7,8.84647342
AZ,Arizona,2020,365027.7,33676.0,388956.7,8.65803314
AZ,Arizona,2021,395035.9,37530.1,436778.6,8.59247683
AZ,Arizona,2022,410228.4,39889.1,484052.2,8.24066082
AZ,Arizona,2023,422399.6,44090.5,522767.2,8.43406013
AR,Arkansas,2000,95509.8,14582.9,69176.3,21.08077477
AR,Arkansas,2001,95528.7,13885.7,71099.6,19.52992703
AR,Arkansas,2002,98556.6,14682.0,74453.1,19.71979676
AR,Arkansas,2003,102948.0,15032.6,79009.7,19.02627146
AR,Arkansas,2004,108581.8,16229.9,85928.6,18.88765789
AR,Arkansas,2005,112451.1,16838.3,91133.4,18.47654098
AR,Arkansas,2006,114890.4,17789.6,96073.7,18.51661797
AR,Arkansas,2007,114026.7,16233.3,98325.0,16.50983982
AR,Arkansas,2008,113628.0,15338.1,100206.7,15.30646154
AR,Arkansas,2009,109833.1,13696.7,97783.9,14.00711160
AR,Arkansas,2010,113000.9,14914.1,101699.3,14.66489937
AR,Arkansas,2011,115241.8,15699.3,105697.6,14.85303356
AR,Arkansas,2012,116616.2,15254.6,108836.0,14.01613437
AR,Arkansas,2013,119842.8,16683.0,114021.1,14.63150241
AR,Arkansas,2014,121409.4,17495.6,117388.7,14.90398991
AR,Arkansas,2015,121532.5,17447.0,118573.6,14.71406789
AR,Arkansas,2016,123034.9,17322.7,120987.4,14.31777193
AR,Arkansas,2017,123882.6,17427.1,123882.6,14.06743158
AR,Arkansas,2018,126371.2,18869.6,129213.8,14.60339376
AR,Arkansas,2019,127220.0,18881.9,132625.8,14.23697350
AR,Arkansas,2020,128340.9,18569.6,136198.4,13.63422771
AR,Arkansas,2021,137463.6,23159.8,154052.5,15.03370604
AR,Arkansas,2022,139560.7,24907.0,168605.8,14.77232693
AR,Arkansas,2023,142860.6,26058.0,178606.4,14.58962277
CA,California,2000,1784320.6,205903.1,1354791.3,15.19814159
CA,California,2001,1784567.7,177924.8,1373270.8,12.95627927
CA,California,2002,1821509.5,162473.6,1419321.8,11.44727010
CA,California,2003,1895287.6,176918.6,1498578.0,11.80576520
CA,California,2004,1956745.5,182327.4,1585081.4,11.50271525
CA,California,2005,2042141.0,207858.7,1698858.4,12.23519865
CA,California,2006,2120435.4,220276.3,1812161.6,12.15544464
CA,California,2007,2168940.4,231199.0,1900220.4,12.16695705
CA,California,2008,2192331.8,245014.2,1946241.5,12.58909544
CA,California,2009,2110679.4,226538.7,1879809.5,12.05115199
CA,California,2010,2153852.8,219571.0,1938603.3,11.32624710
CA,California,2011,2192887.2,221137.7,2014050.3,10.97975061
CA,California,2012,2255437.3,233979.5,2108873.1,11.09500140
CA,California,2013,2340335.3,245289.9,2223300.9,11.03269018
CA,California,2014,2428675.7,256305.8,2342218.8,10.94286324
CA,California,2015,2545979.5,268522.9,2487156.4,10.79638176
CA,California,2016,2623711.7,272154.2,2586485.2,10.52216344
CA,California,2017,2740550.3,294636.7,2740550.3,10.75100501
CA,California,2018,2850970.3,325580.2,2899530.9,11.22871979
CA,California,2019,2969609.0,335966.3,3068629.7,10.94841453
CA,California,2020,2933320.2,322932.9,3076755.1,10.49589225
CA,California,2021,3154188.6,371145.4,3423958.3,10.83965888
CA,California,2022,3184007.8,397569.7,3660415.7,10.86132649
CA,California,2023,3248656.6,411801.6,3870378.9,10.63982650
CO,Colorado,2000,238739.3,15881.3,179303.3,8.85722683
CO,Colorado,2001,242650.1,14481.5,185848.9,7.79208271
CO,Colorado,2002,243701.9,14885.8,189604.6,7.85096986
CO,Colorado,2003,246017.4,14528.4,195137.6,7.44520789
CO,Colorado,2004,250069.3,15664.0,203743.3,7.68810557
CO,Colorado,2005,261992.9,16779.6,220803.8,7.59932574
CO,Colorado,2006,268190.8,18201.1,232853.6,7.81654224
CO,Colorado,2007,278733.8,19414.8,248571.6,7.81054634
CO,Colorado,2008,281803.3,19054.1,257606.1,7.39660280
CO,Colorado,2009,275659.1,19395.2,249817.1,7.76375997
CO,Colorado,2010,279385.6,19758.8,256771.8,7.69508178
CO,Colorado,2011,283963.8,20088.7,266114.1,7.54890477
CO,Colorado,2012,289339.5,20549.8,274738.8,7.47975896
CO,Colorado,2013,301484.1,20841.8,291265.3,7.15560693
CO,Colorado,2014,315399.0,21666.1,309223.9,7.00660589
CO,Colorado,2015,330526.1,22353.7,320895.9,6.96602855
CO,Colorado,2016,337685.2,21878.4,330565.9,6.61846851
CO,Colorado,2017,350209.1,21524.0,350209.1,6.14604246
