State	Comprehensive social capital index II	LifeStyle: Club meetings attended last year	LifeStyle: Community projects worked on last year	LifeStyle: Times entertained at home last year	LifeStyle: Times volunteered last year	"LifeStyle ""I spend a lot of time visiting friends"" (6-level agee/disagree)"	"Life Style: ""Most people are honest"" (6-level agree/disagree)"	Roper:  served on committee for  local orgzt (percent)	Roper:  served as officer of club or orgzt (percent)	Roper:  attended meeting on town or school affairs (percent)	"501(c)(3) organizations per capita, 1989"	GSS: Mean number of group memberships	"GSS: ""Most people can be trusted"""	"Civic and social orgzts per 1000 pop, 1977-1992 (from FICA records)"	"Mean Pres'l Turnout, 1988 & 1992"
Alabama	-1.07	6.4	2.1	9.5	5.7	3.00	3.64	6%	6%	14%	1.40	1.65	23%	0.10	51%
Alaska	.	.	.	.	.	.	.	.	.	.	2.82	.		0.29	61%
Arizona	0.06	6.8	2.5	11.6	7.8	2.99	3.81	12%	13%	23%	1.67	1.88	47%	0.14	50%
Arkansas	-0.50	7.7	2.4	11.6	6.5	3.07	3.77	7%	8%	15%	1.60	1.44	29%	0.12	51%
California	-0.18	7.3	2.3	11.6	7.6	3.01	3.78	8%	9%	18%	2.20	1.69	43%	0.14	48%
Colorado	0.41	8.1	2.2	11.4	7.9	3.08	3.82	13%	13%	21%	2.45	1.95	46%	0.18	59%
Connecticut	0.27	7.7	2.4	12.7	7.1	3.04	3.79	9%	10%	20%	2.25	2.05	49%	0.20	61%
Delaware	-0.01	6.9	1.7	12.2	6.8	2.87	3.94	10%	11%	22%	2.35	.		0.20	53%
Florida	-0.47	7.4	2.3	11.8	7.1	3.00	3.84	7%	8%	14%	1.41	1.62	37%	0.15	47%
Georgia	-1.15	6.5	2.1	9.3	6.2	2.89	3.56	5%	6%	10%	1.43	1.84	38%	0.09	43%
Hawaii	.	.	.	.	.	.	.	.	.	.	2.28	.	.	0.27	43%
Idaho	0.07	8.1	1.9	10.9	6.7	3.09	3.92	.	.	.	2.07	.	.	0.16	62%
Illinois	-0.22	7.7	2.1	11.8	6.6	3.05	3.82	7%	8%	14%	2.14	1.72	44%	0.15	56%
Indiana	-0.08	8.5	2.3	11.2	7.0	2.99	3.83	8%	8%	17%	1.97	1.87	43%	0.22	54%
Iowa	0.98	8.7	2.5	13.2	8.1	3.21	3.95	15%	15%	23%	2.42	1.99	56%	0.20	62%
