YEAR,STATE,STATE_ABV,VEP,VEP_TURNOUT_RATE,TOTAL_BALLOTS_COUNTED,VAP
2020,Alabama,AL,3782861,61.46%,2325000,3939759
2020,Alaska,AK,529649,68.23%,361400,556443
2020,Arizona,AZ,5133804,66.63%,3420585,5672442
2020,Arkansas,AR,2178328,56.17%,1223675,2332442
2020,California,CA,25840035,68.83%,17785151,30490123
2020,Colorado,CO,4297225,76.69%,3295666,4579181
2020,Connecticut,CT,2655214,70.09%,1861086,2887773
2020,Delaware,DE,745131,68.34%,509241,798104
2020,Florida,FL,15742624,70.79%,11144855,17593558
2020,Georgia,GA,7490838,67.06%,5023159,8282660
2020,Hawaii,HI,1047466,55.35%,579784,1145618
2020,Idaho,ID,1352914,64.94%,878527,1443536
2020,Illinois,IL,9095238,66.52%,6050000,9910732
2020,Indiana,IN,5025421,61.06%,3068542,5240144
2020,Iowa,IA,2360125,72.04%,1700130,2469708
2020,Kansas,KS,2112458,65.10%,1375125,2242018
2020,Kentucky,KY,3339511,64.41%,2150954,3499169
2020,Louisiana,LA,3382286,64.14%,2169401,3552258
2020,Maine,ME,1106276,74.87%,828305,1127932
2020,Maryland,MD,4416326,69.45%,3066945,4820237
2020,Massachusetts,MA,5129755,71.31%,3658005,5638722
2020,Michigan,MI,7615249,73.27%,5579317,7907056
2020,Minnesota,MN,4157411,79.21%,3292997,4408498
2020,Mississippi,MS,2185433,60.63%,1325000,2265253
2020,Missouri,MO,4620290,65.49%,3026028,4800088
2020,Montana,MT,857955,71.34%,612075,873659
2020,Nebraska,NE,1400069,69.06%,966920,1484568
2020,Nevada,NV,2191188,64.25%,1407754,2455546
2020,New Hampshire,NH,1101294,73.96%,814499,1132908
2020,New Jersey,NJ,6435019,72.04%,4635585,7261675
2020,New Mexico,NM,1534600,60.49%,928230,1649222
2020,New York,NY,14081957,61.71%,8690139,15787812
2020,North Carolina,NC,7811002,71.00%,5545848,8284274
2020,North Dakota,ND,577567,63.07%,364251,594772
2020,Ohio,OH,8906277,67.08%,5974121,9184163
2020,Oklahoma,OK,2875494,54.43%,1565000,3040979
2020,Oregon,OR,3204224,75.33%,2413890,3405290
2020,Pennsylvania,PA,9950392,69.93%,6958551,10363451
2020,Rhode Island,RI,828194,63.09%,522488,890532
2020,South Carolina,SC,3914642,64.71%,2533010,4087762
2020,South Dakota,SD,651554,65.62%,427529,678680
2020,Tennessee,TN,5174225,59.24%,3065000,5439926
2020,Texas,TX,18982171,59.79%,11350000,22157381
2020,Utah,UT,2255175,67.22%,1515845,2402151
2020,Vermont,VT,520641,71.25%,370968,531104
2020,Virginia,VA,6300717,71.79%,4523142,6785517
2020,Washington,WA,5465496,75.33%,4116894,6079926
2020,West Virginia,WV,1403699,57.19%,802726,1430595
2020,Wisconsin,WI,4410780,75.04%,3310000,4621234
2020,Wyoming,WY,430161,64.74%,278503,448142
2016,Alabama,AL,"3,609,696",59.12%,"2,134,061","3,770,952"
2016,Alaska,AK,"521,888",61.56%,"321,271","554,526"
2016,Arizona,AZ,"4,755,584",55.97%,"2,661,497","5,347,427"
2016,Arkansas,AR,"2,142,344",53.11%,"1,137,772","2,287,921"
2016,California,CA,"25,058,420",58.31%,"14,610,509","30,130,155"
2016,Colorado,CO,"3,971,805",71.99%,"2,859,216","4,301,685"
2016,Connecticut,CT,"2,589,090",64.73%,"1,675,955","2,827,488"
2016,Delaware,DE,"690,153",64.51%,"445,228","748,217"
2016,Florida,FL,"14,577,798",65.72%,"9,580,489","16,533,216"
2016,Georgia,GA,"6,960,129",59.85%,"4,165,405","7,831,741"
2016,Hawaii,HI,"1,013,299",43.19%,"437,664","1,120,762"
2016,Idaho,ID,"1,169,396",60.76%,"710,545","1,256,143"
2016,Illinois,IL,"9,005,114",62.92%,"5,666,118","9,887,574"
2016,Indiana,IN,"4,860,062",57.77%,"2,807,676","5,072,700"
2016,Iowa,IA,"2,285,860",69.18%,"1,581,371","2,404,019"
2016,Kansas,KS,"2,058,729",59.54%,"1,225,667","2,196,904"
2016,Kentucky,KY,"3,282,543",59.56%,"1,955,195","3,430,752"
2016,Louisiana,LA,"3,378,229",60.67%,"2,049,531","3,563,801"
2016,Maine,ME,"1,059,772",72.84%,"771,892","1,079,197"
2016,Maryland,MD,"4,182,300",67.12%,"2,807,322","4,663,738"
2016,Massachusetts,MA,"4,959,742",68.12%,"3,378,801","5,453,921"
2016,Michigan,MI,"7,437,567",65.54%,"4,874,619","7,765,389"
2016,Minnesota,MN,"3,975,066",74.67%,"2,968,281","4,242,668"
