state,state_abbr,trust_estimate,coverage_type,source_note
Alabama,AL,0.38,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Arizona,AZ,0.48,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Arkansas,AR,0.38,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
California,CA,0.44,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Colorado,CO,0.52,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Connecticut,CT,0.47,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Delaware,DE,0.52,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Florida,FL,0.40,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Georgia,GA,0.38,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Idaho,ID,0.58,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Illinois,IL,0.47,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Indiana,IN,0.42,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Iowa,IA,0.60,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Kansas,KS,0.51,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Kentucky,KY,0.42,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Louisiana,LA,0.30,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Maine,ME,0.55,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Maryland,MD,0.53,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Massachusetts,MA,0.52,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Michigan,MI,0.50,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Minnesota,MN,0.62,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Mississippi,MS,0.37,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Missouri,MO,0.45,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Montana,MT,0.51,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Nebraska,NE,0.48,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Nevada,NV,0.35,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
New Hampshire,NH,0.66,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
New Jersey,NJ,0.47,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
New Mexico,NM,0.39,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
New York,NY,0.44,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
North Carolina,NC,0.38,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
North Dakota,ND,0.67,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Ohio,OH,0.49,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Oklahoma,OK,0.37,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Oregon,OR,0.54,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Pennsylvania,PA,0.46,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Rhode Island,RI,0.29,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
South Carolina,SC,0.39,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
South Dakota,SD,0.63,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Tennessee,TN,0.41,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Texas,TX,0.40,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Utah,UT,0.57,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Vermont,VT,0.57,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Virginia,VA,0.47,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Washington,WA,0.56,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
West Virginia,WV,0.39,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Wisconsin,WI,0.48,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
Wyoming,WY,0.50,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
District of Columbia,DC,0.27,pooled_1999_2010,"Neville 2012 pooled nationally representative surveys"
