state,state_abbr,S_year,E_year,S,ln_gdppc,activity,ln_density
Alabama,AL,2002,2000,-0.66225195,10.542457116442174,63.6,4.476265034351588
Alabama,AL,2003,2001,-0.89120746,10.537525194753,62.7,4.479731704759128
Alabama,AL,2004,2002,-0.72514385,10.558106043477261,62.1,4.4825156550544705
Alabama,AL,2005,2003,-1.3341863,10.584910649327888,62.2,4.487725616547486
Alabama,AL,2006,2004,-1.5191938,10.643442183725524,62.1,4.493755596453352
Alabama,AL,2007,2005,-1.6990304,10.672738960165361,61.5,4.502343277164972
Alabama,AL,2008,2006,-1.5409486,10.673355315648427,61.5,4.515209500235966
Alabama,AL,2009,2007,-1.4975376,10.674382182154641,61.2,4.5246397666388525
Alabama,AL,2010,2008,-1.4371125,10.65946934222003,60.5,4.534301385354662
Arizona,AZ,2002,2000,-0.16865283,10.681601706823,65.3,3.815651827403154
Arizona,AZ,2003,2001,-0.08039311,10.686987711436823,65.7,3.8372916057615574
Arizona,AZ,2004,2002,-0.44193345,10.69540042725066,66.1,3.860306882922825
Arizona,AZ,2005,2003,-0.2515623,10.737446934169478,65.5,3.881232371155161
Arizona,AZ,2006,2004,-0.48514998,10.755366427015854,65.0,3.906682629856532
Arizona,AZ,2007,2005,-0.33415607,10.791474153429665,64.4,3.9391744248703646
Arizona,AZ,2008,2006,-0.22186242,10.802942944000748,64.4,3.971206234663137
Arizona,AZ,2009,2007,0.30606547,10.814014162633331,63.7,3.9939246048425643
Arizona,AZ,2010,2008,0.3625766,10.781674449781516,63.9,4.0120293105972245
Arkansas,AR,2002,2000,-0.4869876,10.481694348984021,62.2,3.941938955076478
Arkansas,AR,2003,2001,-0.90440214,10.477056966867583,61.9,3.946774203081162
Arkansas,AR,2004,2002,-1.0255421,10.502941729115253,62.2,3.952093717364597
Arkansas,AR,2005,2003,-1.2284127,10.539578382471026,62.0,3.9590500679674934
Arkansas,AR,2006,2004,-1.3362135,10.583772361618285,62.4,3.9681358884089
Arkansas,AR,2007,2005,-1.2038096,10.607428285293624,63.1,3.9794946192511267
Arkansas,AR,2008,2006,-1.2004324,10.614372751288185,62.7,3.9940103232039106
Arkansas,AR,2009,2007,-0.9078328,10.597342712644398,62.3,4.0034943629140685
Arkansas,AR,2010,2008,-0.91477305,10.584787701980144,62.0,4.0125466968484025
California,CA,2002,2000,-0.90958804,10.868541440062607,67.1,5.384814733115712
California,CA,2003,2001,-0.79571307,10.854323032566752,67.1,5.399171615098476
California,CA,2004,2002,-0.88797367,10.863496398156185,66.7,5.4104876014306305
California,CA,2005,2003,-0.70925814,10.892326010534386,65.9,5.421363030948262
California,CA,2006,2004,-0.73556983,10.915161966513248,65.5,5.430439114106884
California,CA,2007,2005,-0.6544801,10.950781205600864,65.5,5.437536008361292
California,CA,2008,2006,-0.4237399,10.983024293386702,65.4,5.442915598224911
California,CA,2009,2007,-0.25589922,10.999301350763396,65.7,5.449255849258299
California,CA,2010,2008,-0.17324015,11.00030955354521,65.9,5.458974619338907
Colorado,CO,2002,2000,0.27905276,10.918271236961003,72.1,3.7317165179349394
Colorado,CO,2003,2001,0.23778997,10.911950246301265,71.6,3.754285834958551
Colorado,CO,2004,2002,0.38651258,10.901757915221111,71.9,3.7688034351408803
Colorado,CO,2005,2003,0.5823415,10.902715555516298,72.1,3.7773023029246335
Colorado,CO,2006,2004,0.40015948,10.908883818183808,72.7,3.787469854565564
Colorado,CO,2007,2005,0.2884037,10.943108122776156,72.4,3.7998248746703895
Colorado,CO,2008,2006,0.13212693,10.947555532254064,72.8,3.8187587285380826
Colorado,CO,2009,2007,0.30512714,10.968591056730247,72.6,3.8362817410498815
Colorado,CO,2010,2008,0.2877293,10.961827501568278,72.4,3.853997401550527
Connecticut,CT,2002,2000,0.6485653,11.135305373012724,68.0,6.557583657472225
Connecticut,CT,2003,2001,0.32070857,11.139632235490412,67.0,6.563736837942004
Connecticut,CT,2004,2002,0.2726983,11.123481817652632,67.4,6.571257350537403
Connecticut,CT,2005,2003,0.30153948,11.126351989887766,67.3,6.578627882752933
Connecticut,CT,2006,2004,0.31096518,11.18823596576095,66.7,6.581996732843908
Connecticut,CT,2007,2005,0.46931282,11.20675566252099,67.0,6.5850988122836736
Connecticut,CT,2008,2006,0.55253386,11.246505121644232,68.0,6.5880895257691225
Connecticut,CT,2009,2007,0.66602135,11.276596712639751,68.6,6.590874588174921
Connecticut,CT,2010,2008,0.6805474,11.268930755680625,68.8,6.596051862819536
Delaware,DE,2002,2000,-0.0428824,11.297366513074952,69.0,6.0003437021533585
Delaware,DE,2003,2001,0.07459678,11.321765911966242,69.6,6.012133441209889
Delaware,DE,2004,2002,0.24790098,11.277440968290318,67.9,6.025205865528993
Delaware,DE,2005,2003,0.41663507,11.272465426277309,66.7,6.039778471659932
Delaware,DE,2006,2004,0.24994844,11.308728269701684,66.3,6.055305170555056
Delaware,DE,2007,2005,0.28733307,11.271410315428895,66.9,6.0724265939784345
Delaware,DE,2008,2006,0.27723685,11.284975018323976,67.2,6.0889933315943745
Delaware,DE,2009,2007,0.44806406,11.26646189046243,66.6,6.1034140060194835
Delaware,DE,2010,2008,0.45570484,11.217379612395215,66.3,6.1172269861243125
Florida,FL,2002,2000,-0.8391341,10.674438765042437,63.3,5.700787358452868
Florida,FL,2003,2001,-0.8170245,10.684877538100237,63.4,5.719887211177928
Florida,FL,2004,2002,-0.87926644,10.708047705958801,62.5,5.740005339331792
Florida,FL,2005,2003,-1.1146891,10.73594436728226,62.0,5.75868695883233
Florida,FL,2006,2004,-1.1144876,10.776574726572246,62.2,5.78258351329631
Florida,FL,2007,2005,-0.88520104,10.809709400647396,62.8,5.806790707819873
Florida,FL,2008,2006,-0.52069783,10.820822930977007,63.4,5.8248395605323156
Florida,FL,2009,2007,-0.09925018,10.824011725280783,63.9,5.835834767708257
Florida,FL,2010,2008,0.00063159066,10.781714464647305,63.4,5.844478939417038
